code, people 
8101703, 452 
8101704, 226 
8101705, 270 
8101706, 422 
8101707, 326 
8101708, 135 
8101709, 248 
8101801, 833 
8105701, 319 
8105702, 219 
8105703, 213 
8105704, 232 
8105705, 383 
8105706, 314 
8105707, 465 
8105708, 342 
8105709, 334 
8105710, 532 
8105711, 803 
8101901, 342 
8101902, 396 
8101903," 1,246 "
8101904, 293 
8101905, 320 
8101906, 199 
8101907, 402 
8101908, 348 
8101909, 303 
8101910, 287 
8101911, 332 
8101912, 250 
8101913, 257 
8102001, 212 
8102002, 275 
8102003, 196 
8102004, 213 
8102005, 389 
8102006, 210 
8102007, 233 
8102008, 293 
8103301, 124 
8102101, 455 
8102102, 287 
8102103, 434 
8102104, 372 
8102105, 491 
8102201, 147 
8102202, 237 
8102203, 330 
8102204, 375 
8102205, 441 
8102206, 211 
8102207, 326 
8102208, 214 
8104501, 5 
8102801, 14 
8104601, 189 
8104602, 279 
8104603, 240 
8104604, 201 
8104605, 193 
8104606, 222 
8104607, 161 
8104608," 1,897 "
8104609, 204 
8104610, 534 
8104611, 493 
8104612, 156 
8104613, 272 
8104614, 226 
8104615, 498 
8104616, 155 
8104617, 359 
8104618, 262 
8104619, 270 
8104620, 257 
8104621, 288 
8104622, 238 
8104623, 414 
8104624, -   
8104625, 301 
8104701, 252 
8104702, 320 
8104703, 381 
8104704, 169 
8104705, 330 
8104706, 246 
8104707, 149 
8104708, 245 
8104709, 193 
8104710, 332 
8104711, 341 
8104712, 214 
8104713, 320 
8104714, -   
8104715, 251 
8104716, 332 
8104717, 425 
8104718, 383 
8104719, 319 
8105801, 405 
8105802, 382 
8105803, 336 
8105804, 234 
8105805, 182 
8105806, 239 
8105807, 434 
8105808, 427 
8105809, 261 
8105810, 252 
8105811, 413 
8105812, 306 
8105813, 460 
8105814, -   
8102301, 337 
8102302, 185 
8102303, 319 
8102304, 333 
8102305, 251 
8102306, 233 
8102307, 353 
8104801, 238 
8104802, 361 
8104803, 193 
8104804, 231 
8104805, 351 
8104806, 225 
8104807, 258 
8104808, 266 
8104809, 355 
8104810, 240 
8104811, 247 
8104812, 349 
8104813, 182 
8104814, 383 
8102401, 191 
8102402, 392 
8102403, 296 
8102404, 198 
8102405, 199 
8102406, 301 
8102407, 202 
8102408, 346 
8102501, 226 
8102502, 311 
8102503, 358 
8102504, 424 
8102505, 202 
8102506, 424 
8106001, 336 
8106002, 602 
8106003, 545 
8106101, 304 
8106102, 262 
8106103, 318 
8106104, 473 
8106105, 497 
8106106, 161 
8106107, 233 
8106108, 326 
8106109, 286 
8106110, 245 
8106111, 258 
8106112, 203 
8106113, 213 
8106114, 410 
8102601, 251 
8102602, 148 
8102603, 304 
8102604, 326 
8102605, 190 
8102606, 421 
8102607, 240 
